1.00,1.51
2.00,4.34
3.00,9.00
4.00,16.01
5.00,25.18
6.00,36.41
7.00,49.27
8.00,64.45
9.00,81.82
10.00,100.72
11.00,121.39
12.00,144.89
13.00,169.23
14.00,196.03
15.00,225.80
16.00,256.15
17.00,289.20
18.00,324.59
19.00,361.25
20.00,400.01
21.00,441.41
22.00,484.37
23.00,529.94
24.00,576.41
25.00,625.99
26.00,676.26
27.00,729.04
28.00,784.72
29.00,841.46
30.00,900.59
31.00,961.23
32.00,1024.97
33.00,1089.93
34.00,1156.23
35.00,1225.99
36.00,1296.11
37.00,1369.64
38.00,1444.26
39.00,1521.57
40.00,1600.46
41.00,1681.98
42.00,1764.95
43.00,1849.35
44.00,1936.21
45.00,2025.98
46.00,2116.15
47.00,2209.36
48.00,2304.18
